AssignmentID,AssignmentName,Module,Type,Points.Possible
1,L1_Quiz,1,Writing,29
2,L1_Writing,1,Writing,29
3,L1_WritingB,1,Writing,29
4,L2_Quiz,2,Quiz,20
5,L2_Writing,2,Writing,29
6,L3_Quiz,3,Quiz,10
7,L3_Writing,3,Writing,29
8,L4_Quiz,4,Quiz,20
9,L4_Writing,4,Writing,34
10,L5_Quiz,5,Quiz,20
11,L5_Writing,5,Writing,50
12,L6_Quiz,6,Quiz,20
13,L6_Writing,6,Writing,50
14,L7_Quiz,7,Quiz,15
15,L7_Writing,7,Writing,65
16,L8_Quiz,8,Quiz,20
17,L8_Writing,8,Writing,60
18,L9_Quiz,9,Quiz,20
19,L9_Writing,9,Writing,30
20,L10_Quiz,10,Quiz,20
21,L10_Writing,10,Writing,48
22,L11_Quiz,11,Quiz,10
23,L11_Writing,11,Writing,30
24,L12_Quiz,12,Quiz,20
25,L12_JournalWriting,12,Writing,50
26,L12_NovelProject,12,Writing,100
27,L0_Orientation,0,Orientation,10
28,L1_Practice_Grammar,1,Practice,10
29,L2_Practice_Grammar,2,Practice,10
30,L3_Practice_Grammar,3,Practice,10
31,L4_Practice_Grammar,4,Practice,10
32,L5_Practice_Grammar,5,Practice,10
33,L6_Practice_Grammar,6,Practice,10
34,L7_Practice_Grammar,7,Practice,10
35,L8_Practice_Grammar,8,Practice,10
36,L9_Practice_Grammar,9,Practice,10
37,L10_Practice_Grammar,10,Practice,10
38,L11_Practice_Grammar,11,Practice,10
39,L12_Practice_Grammar,12,Practice,10
40,L1.1_Practice_ReadingComp,1,Practice,10
41,L1.2_Practice_ReadingComp,1,Practice,10
42,L2.1_Practice_ReadingComp,2,Practice,10
43,L2.2_Practice_ReadingComp,2,Practice,10
44,L4.3_Practice_ReadingComp,4,Practice,10
45,L4.1_Practice_ReadingComp,4,Practice,10
46,L4.2_Practice_ReadingComp,4,Practice,10
47,L5.1_Practice_ReadingComp,5,Practice,10
48,L5.2_Practice_ReadingComp,5,Practice,10
49,L5.3_Practice_ReadingComp,5,Practice,10
50,L6.1_Practice_ReadingComp,6,Practice,10
51,L6.2_Practice_ReadingComp,6,Practice,10
52,L6.3_Practice_ReadingComp,6,Practice,10
53,L6.4_Practice_ReadingComp,6,Practice,10
54,L7.1_Practice_ReadingComp,7,Practice,10
55,L8.1_Practice_ReadingComp,8,Practice,10
56,L8.2_Practice_ReadingComp,8,Practice,10
57,L8.3_Practice_ReadingComp,8,Practice,10
58,L8.4_Practice_ReadingComp,8,Practice,10
59,L9.1_Practice_ReadingComp,9,Practice,10
60,L9.2_Practice_ReadingComp,9,Practice,10
61,L10.1_Practice_ReadingComp,10,Practice,10
62,L10.2_Practice_ReadingComp,10,Practice,10
63,L11.1_Practice_ReadingComp,11,Practice,10
64,L12.1_Practice_ReadingComp,12,Practice,10
65,L12.2_Practice_ReadingComp,12,Practice,10
66,L12.3_Practice_ReadingComp,12,Practice,10
67,L12.4_Practice_ReadingComp,12,Practice,10
68,L3.1_Practice_ReadingComp,3,Practice,10
69,L1.1_Practice_CloseReading,1,Practice,10
70,L1.2_Practice_CloseReading,1,Practice,10
71,L2.1_Practice_CloseReading,2,Practice,10
72,L2.2_Practice_CloseReading,2,Practice,10
73,L3.1_Practice_CloseReading,3,Practice,10
74,L3.2_Practice_CloseReading,3,Practice,10
75,L4.1_Practice_CloseReading,4,Practice,10
76,L4.2_Practice_CloseReading,4,Practice,10
77,L4.3_Practice_CloseReading,4,Practice,10
78,L5.1_Practice_CloseReading,5,Practice,10
79,L5.2_Practice_CloseReading,5,Practice,10
80,L5.3_Practice_CloseReading,5,Practice,10
81,L6.1_Practice_CloseReading,6,Practice,10
82,L6.2_Practice_CloseReading,6,Practice,10
83,L6.3_Practice_CloseReading,6,Practice,10
84,L6.4_Practice_CloseReading,6,Practice,10
85,L7.1_Practice_CloseReading,7,Practice,10
86,L8.1_Practice_CloseReading,8,Practice,10
87,L7.2_Practice_CloseReading,7,Practice,10
88,L8.2_Practice_CloseReading,8,Practice,10
89,L8.3_Practice_CloseReading,8,Practice,10
90,L8.4_Practice_CloseReading,8,Practice,10
91,L9.1_Practice_CloseReading,9,Practice,10
92,L9.2_Practice_CloseReading,9,Practice,10
93,L10.1_Practice_CloseReading,10,Practice,10
94,L10.2_Practice_CloseReading,10,Practice,10
95,L11.1_Practice_CloseReading,11,Practice,10
96,L11.2_Practice_CloseReading,11,Practice,10
