StudentID,StudentSISID,L1_Quiz,L1_Writing,L1_WritingB,L2_Quiz,L2_Writing,L3_Quiz,L3_Writing,L4_Quiz,L4_Writing,L5_Quiz,L5_Writing,L6_Quiz,L6_Writing,L7_Quiz,L7_Writing,L8_Quiz,L8_Writing,L9_Quiz,L9_Writing,L10_Quiz,L10_Writing,L11_Quiz,L11_Writing,L12_Quiz,L12_JournalWriting,L12_NovelProject,L0_Orientation,L1_Practice_Grammar,L2_Practice_Grammar,L3_Practice_Grammar,L4_Practice_Grammar,L5_Practice_Grammar,L6_Practice_Grammar,L7_Practice_Grammar,L8_Practice_Grammar,L9_Practice_Grammar,L10_Practice_Grammar,L11_Practice_Grammar,L12_Practice_Grammar,L1.1_Practice_ReadingComp,L1.2_Practice_ReadingComp,L2.1_Practice_ReadingComp,L2.2_Practice_ReadingComp,L4.3_Practice_ReadingComp,L4.1_Practice_ReadingComp,L4.2_Practice_ReadingComp,L5.1_Practice_ReadingComp,L5.2_Practice_ReadingComp,L5.3_Practice_ReadingComp,L6.1_Practice_ReadingComp,L6.2_Practice_ReadingComp,L6.3_Practice_ReadingComp,L6.4_Practice_ReadingComp,L7.1_Practice_ReadingComp,L8.1_Practice_ReadingComp,L8.2_Practice_ReadingComp,L8.3_Practice_ReadingComp,L8.4_Practice_ReadingComp,L9.1_Practice_ReadingComp,L9.2_Practice_ReadingComp,L10.1_Practice_ReadingComp,L10.2_Practice_ReadingComp,L11.1_Practice_ReadingComp,L12.1_Practice_ReadingComp,L12.2_Practice_ReadingComp,L12.3_Practice_ReadingComp,L12.4_Practice_ReadingComp,L3.1_Practice_ReadingComp,L1.1_Practice_CloseReading,L1.2_Practice_CloseReading,L2.1_Practice_CloseReading,L2.2_Practice_CloseReading,L3.1_Practice_CloseReading,L3.2_Practice_CloseReading,L4.1_Practice_CloseReading,L4.2_Practice_CloseReading,L4.3_Practice_CloseReading,L5.1_Practice_CloseReading,L5.2_Practice_CloseReading,L5.3_Practice_CloseReading,L6.1_Practice_CloseReading,L6.2_Practice_CloseReading,L6.3_Practice_CloseReading,L6.4_Practice_CloseReading,L7.1_Practice_CloseReading,L8.1_Practice_CloseReading,L7.2_Practice_CloseReading,L8.2_Practice_CloseReading,L8.3_Practice_CloseReading,L8.4_Practice_CloseReading,L9.1_Practice_CloseReading,L9.2_Practice_CloseReading,L10.1_Practice_CloseReading,L10.2_Practice_CloseReading,L11.1_Practice_CloseReading,L11.2_Practice_CloseReading,L11.3_Practice_CloseReading,L12.1_Practice_CloseReading,L12.2_Practice_CloseReading,L12.3_Practice_CloseReading,L12.4_Practice_CloseReading,L1.1_Practice_Vocabulary,L1.2_Practice_Vocabulary,L2.1_Practice_Vocabulary,L2.2_Practice_Vocabulary,L3.1_Practice_Vocabulary,L3.2_Practice_Vocabulary,L4.1_Practice_Vocabulary,L4.2_Practice_Vocabulary,L4.3_Practice_Vocabulary,L5.1_Practice_Vocabulary,L5.2_Practice_Vocabulary,L5.3_Practice_Vocabulary,L6.1_Practice_Vocabulary,L6.2_Practice_Vocabulary,L6.3_Practice_Vocabulary,L6.4_Practice_Vocabulary,L7.1_Practice_Vocabulary,L8.1_Practice_Vocabulary,L8.2_Practice_Vocabulary,L8.3_Practice_Vocabulary,L8.4_Practice_Vocabulary,L9.1_Practice_Vocabulary,L9.2_Practice_Vocabulary,L10.1_Practice_Vocabulary,L10.2_Practice_Vocabulary,L11.1_Practice_Vocabulary,L12.1_Practice_Vocabulary,L12.2_Practice_Vocabulary,L12.3_Practice_Vocabulary,L12.4_Practice_Vocabulary,Midterm.Exam,Final.Exam,FinalExamWriting
13515,27828,19,27,23,19,21,9,24,16,32,20,40,19,45,15,63,20,49,19,27,19,42,9,27,20,43,93,10,9.55,8,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,8,10,9,10,9,10,9,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,85.33333333,82,74
13170,26905,19,28,26,20,25,10,26,17,31,19,50,18,48,15,62,19,,19,,,,,,,,,10,10,10,10,8,10,10,10,10,9,,,,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,9,10,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,81,,
14182,28774,20,24,24,19,25,9,25,20,28,,,,,,,,,,,,,,,,,,10,7.9,9,10,9,,,,,,,,,10,9,9,9,10,7,9,,6,,,,,,,,,,,,,,,,,,,,10,,10,,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,5,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,
14248,29008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13616,28191,19,21,23,20,21,10,23,20,30,18,42,18,45,14,64,19,55,14,27,15,,8,27,,,,10,10,8,9,8,10,9,9,8,9,9,7.5,,10,10,10,10,8,8,9,9,10,10,9,8,10,9,9,9,9,10,10,6,8,10,6,7,,,,,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,,,,,83,,
14215,29040,12,25,26,17,25,9,21,,,,,,,,,,,,,,,,,,,,10,8.05,4,5,,,,,,,,,,9,9,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,2811,19,27,25,18,27,10,27,19,27,18,49,19,43,15,60,20,52,16,28,19,44,10,29,18,42,88,10,10,8.5,9,9,10,10,10,10,9,9,10,10,10,10,8,10,10,9,9,9,8,9,9,10,9,10,10,10,9,10,10,8,10,9,10,10,9,10,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,91,86,63
14174,28820,17,22,23,18,21,9,19,14,25,16,,,,,,,,,,,,,,,,,10,9.8,9,8,7,10,,,,,,,,10,10,10,9,8,9,9,7,6,10,,,,,,,,,,,,,,,,,,,10,10,10,,,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,5,4,4,5,5,5,5,,,,,,,,,,,,,,,,,,,79,,
10477,20984,19,27,28,20,25,,,,,,,,,,,,,,,,,,,,,,10,10,10,9,9,,,,,,,,,10,10,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13759,28381,18,21,22,17,24,10,19,14,31,10,45,,,,,,,,,,,,,,,,10,7.9,4.5,8,7,7,,,,,,,,9,9,10,9,6,8,6,4,6,7,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,4,5,3,5,4,4,4,4,5,5,5,5,,,,,,,,,,,,,,,,,,,61.33333333,,
